presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1923-01-01 00:00:00",1,Português,STAGE_SCREEN,"O 31 paulista (II)",Revista,"Brasileira ","Nair Alves","Brasileira ","Olympia "
"1923-01-01 00:00:00",1,Português,COMPLETE,"Bichinha gata","Teatro declamado",Francesa,Satanella-Amarante,Portuguesa,Santana
"1923-01-02 00:00:00",1,Português,COMPLETE,"Bichinha gata","Teatro declamado",Francesa,Satanella-Amarante,Portuguesa,Santana
"1923-01-02 00:00:00",1,Português,STAGE_SCREEN,"Lagarta rosada, A",Sertaneja,"Brasileira ",Arruda,"Brasileira ","Brás Politeama"
"1923-01-02 00:00:00",1,Português,STAGE_SCREEN,"Nhá MoÃ§a",Burleta,"Brasileira ","Nair Alves","Brasileira ","Olympia "
"1924-01-01 00:00:00",2,Português,COMPLETE,"Levianas, As","Teatro declamado","Brasileira ","Abigail Maia","Brasileira ",Santana
"1924-01-01 00:00:00",1,Italiano,COMPLETE,"Camponês alegre, O",Opereta,Austríca,"Clara Weiss",Ãtalo-sul-americana,"Cassino Antártica"
"1924-01-01 00:00:00",1,Português,STAGE_SCREEN,"Aguenta, Felippe!",Revista,"Brasileira ",Arruda,"Brasileira ","Brás Politeama"
"1924-01-01 00:00:00",1,Português,COMPLETE,"Senhorinha Talharim","Teatro declamado",Francesa,"Leopoldo FrÃ³es","Brasileira ",Apolo
"1924-01-01 00:00:00",2,Português,SESSIONS,"Eva no ministério","Teatro declamado","Brasileira ","Brasileira de comédias do Trianon do Rio","Brasileira ","Boa Vista"
"1924-01-02 00:00:00",1,Português,COMPLETE,"Secretário de Sua Excelêcia, O","Teatro declamado","Brasileira ","Abigail Maia","Brasileira ",Santana
"1924-01-02 00:00:00",1,Português,STAGE_SCREEN,"O que o rei nÃ£o viu",Revista,"Brasileira ",Arruda,"Brasileira ","Brás Politeama"
"1924-01-02 00:00:00",2,Português,SESSIONS,"Pés pelas mÃ£os","Teatro declamado","Brasileira ","Brasileira de comédias do Trianon do Rio","Brasileira ","Boa Vista"
"1924-01-02 00:00:00",1,Italiano,COMPLETE,"Noite de danÃ§a, Uma",Opereta,Austríca,"Clara Weiss",Ãtalo-sul-americana,"Cassino Antártica"
"1924-01-02 00:00:00",1,Português,COMPLETE,"Senhorinha Talharim","Teatro declamado",Francesa,"Leopoldo FrÃ³es","Brasileira ",Apolo
"1925-01-01 00:00:00",1,AlemÃ£o,COMPLETE,Dolly,Opereta,NULL,"Georg Urban (opereta)",AlemÃ£,Santana
"1925-01-01 00:00:00",3,Português,SESSIONS,"Tiro ao alvo",Revista,NULL,"Teatro Eden de Lisboa",Portuguesa,"Cassino Antártica"
"1925-01-01 00:00:00",2,Português,COMPLETE,"Sangue azul","Teatro declamado",Francesa,"Leopoldo FrÃ³es","Brasileira ",Apolo
"1925-01-01 00:00:00",1,AlemÃ£o,COMPLETE,"Primo lá de fora, O",Opereta,NULL,"Georg Urban (opereta)",AlemÃ£,Santana
"1925-01-01 00:00:00",3,Português,SESSIONS,"Sua Exc. A Cozinheira","Teatro declamado",NULL,"Brasileira de comédias do Trianon do Rio","Brasileira ",Royal
"1925-01-02 00:00:00",1,Português,COMPLETE,"Ilustre desconhecido, O","Teatro declamado",Portuguesa,"Leopoldo FrÃ³es","Brasileira ",Apolo
"1925-01-02 00:00:00",2,Português,SESSIONS,"Tiro ao alvo",Revista,NULL,"Teatro Eden de Lisboa",Portuguesa,"Cassino Antártica"
"1925-01-02 00:00:00",1,AlemÃ£o,COMPLETE,"Casa das tres meninas, A",Opereta,Austríca,"Georg Urban (opereta)",AlemÃ£,Santana
"1925-01-02 00:00:00",2,Português,SESSIONS,"Lua de mel (comédia)","Teatro declamado",Francesa,"Brasileira de comédias do Trianon do Rio","Brasileira ",Royal
"1925-01-03 00:00:00",2,Português,SESSIONS,"Lua de mel (comédia)","Teatro declamado",Francesa,"Brasileira de comédias do Trianon do Rio","Brasileira ",Royal
"1926-01-01 00:00:00",3,Português,SESSIONS,"Comidas, meu santo",Revista,"Brasileira ","Abilio de Menezes","Brasileira ",Pathé
